url_length,has_ip,has_at_symbol,num_hyphens,num_subdomains,has_password_field,has_hidden_iframe,suspicious_form_action,script_to_content_ratio,label
34,0,0,0,0,0,0,0,1.2142857142857142,1
40,0,0,0,1,0,0,0,0.7431192660550459,0
48,0,0,0,1,0,0,0,0.07021573291772619,0
52,0,0,1,1,0,1,0,1.3329300262149626,0
33,0,0,0,2,0,1,0,0.1746926807262885,0
66,0,0,4,1,0,0,0,0.0,0
42,0,0,2,0,0,0,0,0.2484472049689441,1
82,0,0,9,0,1,0,0,3.4255681334581665,0
32,0,0,0,2,0,1,0,3.945329933057061,0
30,0,0,0,1,1,0,0,31.21115266916015,0
33,0,0,0,1,0,0,0,36.09809017968132,0
80,0,0,5,1,0,0,0,3.9589905362776023,0
36,0,0,0,1,0,0,0,4.977008842752787,0
64,0,0,0,1,0,0,0,0.015298586199620172,0
83,0,0,3,0,0,0,0,0.5515647546897547,0
35,0,0,0,0,0,0,1,1.8024713792476832,1
39,0,0,0,1,1,1,1,11.935521194909015,0
44,0,0,0,1,0,0,0,1.2868832658976992,0
42,0,0,1,2,1,0,0,0.9500941619585688,1
46,0,0,2,2,0,1,0,5.490737442109014,0
70,0,0,3,0,0,0,0,0.0004922067268252667,1
29,0,0,0,1,0,0,0,0.18816388467374812,1
89,1,0,0,5,1,0,0,2.4272727272727272,1
86,0,0,3,1,1,0,0,3.0768431983385254,1
33,0,0,0,1,0,1,0,0.6728289520552825,0
47,0,0,0,1,0,0,0,20.64651162790698,0
41,0,0,0,2,0,0,0,0.0,1
73,0,0,3,1,0,0,0,4.9488703923900115,0
62,0,0,1,2,0,0,0,46.96624803767661,0
56,0,0,0,1,0,0,0,0.1935003651480254,0
51,0,0,0,1,0,1,0,0.5058297842630733,0
70,0,0,6,0,0,0,0,0.9196466356326704,0
63,0,0,2,2,0,1,0,3.2878756476683937,0
96,0,0,10,1,0,0,0,1.8863636363636365,0
24,0,0,0,0,1,0,0,0.6117572425459928,0
54,0,0,2,1,0,0,0,0.21177315147164394,1
95,0,1,2,1,1,0,0,2.3214285714285716,1
40,0,0,0,0,0,0,0,0.0005548619780829519,0
27,0,0,0,1,0,1,0,3.2238979118329465,0
37,0,0,0,1,0,1,0,0.6949565217391305,0
26,0,0,0,1,0,0,0,0.0,1
25,0,0,0,1,0,1,0,3.889950724204868,0
57,0,0,1,1,0,1,0,0.2514609831557236,0
63,0,0,3,1,0,0,0,1.423128108145969,0
116,0,0,0,1,1,0,0,6.792391304347826,1
41,0,0,0,0,0,0,0,0.007159904534606206,1
36,0,0,1,1,0,0,0,8.214035087719298,1
28,0,0,0,0,0,0,0,0.524748490945674,0
53,0,0,2,1,0,0,0,0.6429859358095925,0
45,0,0,1,0,0,0,0,0.4916816997394267,0
30,0,0,0,1,0,0,0,0.08280254777070063,1
49,0,0,3,0,0,0,0,0.3606988738027576,0
54,0,0,0,0,0,0,0,0.0,1
58,0,0,5,0,0,0,0,7.665407220822838,0
40,0,0,0,1,1,1,0,1.5779975278121137,0
25,0,0,0,1,0,0,0,0.0,1
60,0,0,3,0,1,0,0,1.094972067039106,1
28,0,0,0,1,1,0,0,2.113814074717637,0
55,0,0,1,1,0,0,0,69.375,0
26,0,0,0,1,0,0,0,0.675594385562876,0
54,0,0,2,0,1,0,0,1.1132075471698113,1
25,0,0,0,1,1,0,0,0.0,0
56,0,0,1,1,0,0,0,0.017964071856287425,1
42,0,0,4,0,0,0,0,0.0,0
72,0,0,1,0,0,0,0,0.5408805031446541,1
24,0,0,0,2,0,0,0,0.0688,0
