url_length,has_ip,has_at_symbol,num_hyphens,num_subdomains,url_entropy,num_digits,num_parameters,has_sensitive_words,has_password_field,has_hidden_iframe,suspicious_form_action,script_to_content_ratio,external_link_ratio,empty_links_ratio,num_input_fields,label
34,0,0,0,0,3.9986525468781666,1,0,0,0,0,0,1.2142857142857142,0.0,1.0,4,1
40,0,0,0,1,3.9561983328100943,0,0,0,0,0,0,0.7431192660550459,0.0,0.0,3,0
48,0,0,0,1,4.084147917027245,6,0,0,0,0,0,0.07021573291772619,0.05194805194805195,0.012987012987012988,2,0
52,0,0,1,1,4.101681489107105,0,0,0,0,1,0,1.3329300262149626,0.16,0.0,1,0
33,0,0,0,2,4.063650847340264,0,0,0,0,1,0,0.1746926807262885,0.5172413793103449,0.1206896551724138,8,0
66,0,0,4,1,4.352746536150203,0,0,0,0,0,0,0.0,0.0,0.0,0,0
42,0,0,2,0,4.218883791465801,0,0,0,0,0,0,0.2484472049689441,0.8,0.2,12,1
82,0,0,9,0,4.411953761890336,8,0,0,1,0,0,3.4255681334581665,0.03488372093023256,0.16279069767441862,18,0
32,0,0,0,2,4.007048827786958,0,0,1,0,1,0,3.945329933057061,0.3333333333333333,0.0,0,0
30,0,0,0,1,4.1898980954642875,1,1,0,1,0,0,31.21115266916015,0.38461538461538464,0.6153846153846154,31,0
33,0,0,0,1,3.9801694078807643,0,0,0,0,0,0,36.09809017968132,0.5813953488372093,0.0,0,0
80,0,0,5,1,4.318253802314378,0,0,0,0,0,0,3.9589905362776023,1.0,0.0,5,0
36,0,0,0,1,3.995906598484245,0,0,0,0,0,0,4.977008842752787,0.020588235294117647,0.026470588235294117,5,0
64,0,0,0,1,4.14813272039029,0,0,0,0,0,0,0.015298586199620172,0.02459016393442623,0.0,3,0
83,0,0,3,0,4.179753579257391,0,0,0,0,0,0,0.5515647546897547,0.08181818181818182,0.006818181818181818,5,0
35,0,0,0,0,4.193429088311723,0,0,0,0,0,1,1.8024713792476832,0.0,1.0,11,1
39,0,0,0,1,4.470673051918213,4,0,0,1,1,1,11.935521194909015,0.23076923076923078,0.0,15,0
44,0,0,0,1,4.036040925839781,0,0,0,0,0,0,1.2868832658976992,0.14173228346456693,0.03937007874015748,7,0
42,0,0,1,2,4.198532530221197,1,0,0,1,0,0,0.9500941619585688,0.0,1.0,3,1
46,0,0,2,2,4.370963042825407,0,0,0,0,1,0,5.490737442109014,0.036036036036036036,0.02702702702702703,12,0
70,0,0,3,0,4.235180425174241,0,0,0,0,0,0,0.0004922067268252667,0.25,0.125,13,1
29,0,0,0,1,4.142295219190902,3,0,0,0,0,0,0.18816388467374812,1.0,0.0,2,1
89,1,0,0,5,4.599039685778781,14,1,0,1,0,0,2.4272727272727272,0.0,0.0,5,1
86,0,0,3,1,4.811033761439486,32,0,1,1,0,0,3.0768431983385254,0.0,1.0,22,1
33,0,0,0,1,3.945464952495108,0,0,0,0,1,0,0.6728289520552825,0.07670454545454546,0.03409090909090909,2,0
47,0,0,0,1,4.193436331442806,0,0,0,0,0,0,20.64651162790698,0.9444444444444444,0.0,2,0
41,0,0,0,2,4.101846066682376,0,0,0,0,0,0,0.0,0.9565217391304348,0.043478260869565216,0,1
73,0,0,3,1,4.149390183530004,0,0,0,0,0,0,4.9488703923900115,0.0,0.03125,15,0
62,0,0,1,2,4.315117133890396,6,0,0,0,0,0,46.96624803767661,0.5769230769230769,0.0,1,0
56,0,0,0,1,4.403262234859557,0,0,0,0,0,0,0.1935003651480254,0.10564663023679417,0.0018214936247723133,6,0
51,0,0,0,1,4.290003901500557,0,0,0,0,1,0,0.5058297842630733,0.41025641025641024,0.01282051282051282,5,0
70,0,0,6,0,4.293290075587517,0,0,0,0,0,0,0.9196466356326704,0.1415929203539823,0.008849557522123894,17,0
63,0,0,2,2,4.471028288744661,7,0,0,0,1,0,3.2878756476683937,0.13043478260869565,0.0,2,0
96,0,0,10,1,4.5277735760502384,6,0,0,0,0,0,1.8863636363636365,0.0,0.14285714285714285,0,0
24,0,0,0,0,3.5739348962840567,0,0,0,1,0,0,0.6117572425459928,0.05202312138728324,0.011560693641618497,14,0
54,0,0,2,1,4.465096011575607,2,0,0,0,0,0,0.21177315147164394,0.0,0.0,20,1
95,0,1,2,1,4.559058310207812,0,1,0,1,0,0,2.3214285714285716,0.0,1.0,3,1
40,0,0,0,0,4.125070520364181,0,0,0,0,0,0,0.0005548619780829519,0.02857142857142857,0.0,2,0
27,0,0,0,1,4.106377316818028,0,0,0,0,1,0,3.2238979118329465,0.6666666666666666,0.0,0,0
37,0,0,0,1,3.756090189660914,0,0,0,0,1,0,0.6949565217391305,0.589041095890411,0.0136986301369863,3,0
26,0,0,0,1,3.9500637564362093,0,0,0,0,0,0,0.0,0.0,0.0,0,1
25,0,0,0,1,3.863465189601646,0,0,0,0,1,0,3.889950724204868,0.3956043956043956,0.01098901098901099,0,0
57,0,0,1,1,4.313532839881798,0,0,0,0,1,0,0.2514609831557236,0.15757575757575756,0.0,9,0
63,0,0,3,1,4.156593821845349,0,0,1,0,0,0,1.423128108145969,0.34,0.0,3,0
116,0,0,0,1,4.260564564476773,45,0,0,1,0,0,6.792391304347826,0.0,0.8571428571428571,6,1
41,0,0,0,0,4.11073699294092,0,0,0,0,0,0,0.007159904534606206,0.0,0.0,0,1
36,0,0,1,1,4.30827083453526,3,0,0,0,0,0,8.214035087719298,0.0,0.0,2,1
28,0,0,0,0,3.6280852788913944,0,0,0,0,0,0,0.524748490945674,0.11764705882352941,0.0,0,0
53,0,0,2,1,4.284458313732673,0,0,0,0,0,0,0.6429859358095925,0.11764705882352941,0.08823529411764706,17,0
45,0,0,1,0,4.089199419023815,0,0,0,0,0,0,0.4916816997394267,0.553921568627451,0.058823529411764705,1,0
30,0,0,0,1,3.9395722619867226,0,0,0,0,0,0,0.08280254777070063,0.0,0.0,0,1
49,0,0,3,0,4.459012079154174,5,0,0,0,0,0,0.3606988738027576,0.41228070175438597,0.0,76,0
54,0,0,0,0,3.9998708367344515,3,0,0,0,0,0,0.0,0.0,0.0,2,1
58,0,0,5,0,4.405587357928821,0,0,0,0,0,0,7.665407220822838,0.060240963855421686,0.0,0,0
40,0,0,0,1,4.053701696057348,0,0,0,1,1,0,1.5779975278121137,0.31645569620253167,0.06329113924050633,28,0
25,0,0,0,1,3.593269689515108,0,0,0,0,0,0,0.0,0.0,0.0,0,1
60,0,0,3,0,4.058008045493704,1,0,0,1,0,0,1.094972067039106,0.0,1.0,2,1
28,0,0,0,1,3.7979026896829464,0,0,1,1,0,0,2.113814074717637,0.22641509433962265,0.0,6,0
55,0,0,1,1,4.433378522844338,10,0,0,0,0,0,69.375,0.0,0.0,0,0
26,0,0,0,1,3.921029621737614,0,0,0,0,0,0,0.675594385562876,0.04081632653061224,0.0,11,0
54,0,0,2,0,4.268208336654322,0,0,1,1,0,0,1.1132075471698113,1.0,0.0,8,1
25,0,0,0,1,3.8634651896016465,0,0,1,1,0,0,0.0,0.0,0.0,5,0
56,0,0,1,1,4.1467528067059805,0,0,0,0,0,0,0.017964071856287425,0.0,0.0,0,1
42,0,0,4,0,4.318045625665338,4,0,0,0,0,0,0.0,0.0,0.0,0,0
72,0,0,1,0,4.02914643969807,0,0,1,0,0,0,0.5408805031446541,0.0,1.0,5,1
24,0,0,0,2,3.5424812503605785,0,0,0,0,0,0,0.0688,1.0,0.0,0,0
35,0,0,1,0,4.01158543183743,0,0,0,1,0,0,1.0423387096774193,1.0,0.0,8,1
29,0,0,1,2,3.9523029776623866,0,0,0,0,0,0,8.092610519522427,0.029411764705882353,0.0,5,0
67,0,0,2,1,4.3272310790545205,0,0,0,1,0,0,0.18838028169014084,0.0,0.9565217391304348,3,0
26,0,0,0,0,3.8441065448145375,0,0,0,0,1,0,0.6607631915282088,0.010526315789473684,0.10526315789473684,0,0
31,0,0,0,0,4.103727665980414,3,0,0,0,0,0,0.004092769440654843,0.0,0.8888888888888888,2,1
153,0,0,0,1,4.789366458763514,10,4,1,1,0,0,100.2778761061947,0.2857142857142857,0.0,15,0
93,0,0,10,1,4.159068194781883,0,0,0,0,0,0,0.10503709488481063,0.1506849315068493,0.0,2,0
62,0,0,3,1,4.153410173423253,0,0,0,0,0,1,0.6298427167781223,0.026785714285714284,0.0,21,0
50,0,0,3,1,4.503465189601647,7,0,0,1,0,0,6.702564102564103,1.0,0.0,4,1
51,0,0,0,0,4.380772342345472,0,0,0,1,0,0,0.0,0.8571428571428571,0.0,2,1
45,0,0,0,1,4.094211918783428,0,0,0,0,0,0,470.1221264367816,0.14285714285714285,0.0,1,0
60,0,0,0,1,4.3770497632448375,4,0,0,0,0,0,0.06899637931735894,0.4393939393939394,0.18181818181818182,2,0
51,0,0,0,1,4.078617253439256,3,0,0,1,0,0,4.867265469061876,1.0,0.0,3,1
70,0,0,3,1,4.603425874795327,6,0,0,0,0,1,0.2844278053222706,0.2990936555891239,0.2990936555891239,11,0
50,0,0,3,1,4.1479764393853,0,0,0,0,1,0,0.922283901665345,0.2087912087912088,0.04395604395604396,5,0
58,0,0,3,1,4.215595116400308,0,0,0,1,0,0,2.960674157303371,0.3076923076923077,0.0,23,0
42,0,0,0,1,4.2431587916718465,0,0,0,0,0,0,10.817204301075268,0.0,0.0,0,0
45,0,0,0,1,4.038873585546249,1,0,0,0,0,0,2.0234604105571847,0.0,0.0,0,0
39,0,0,0,2,4.182336834024969,0,0,1,1,0,0,1.1857258718572588,0.0,0.5,11,1
88,0,0,6,2,4.563022142823415,7,0,0,0,1,0,73.98591707976566,0.19444444444444445,0.018518518518518517,12,0
35,0,0,0,0,3.8513099897106637,4,0,0,0,0,0,1.0588235294117647,0.0,0.07692307692307693,4,0
22,0,0,0,0,3.481714572986072,0,0,0,0,0,0,0.0,0.0,0.0,0,1
95,0,0,0,1,4.900986203264362,13,1,1,0,0,0,0.7460651740190645,0.06802721088435375,0.05442176870748299,11,1
47,0,0,0,1,4.256850161045914,0,0,0,0,0,0,2.045807770961145,0.25,0.0,3,0
67,0,0,1,0,4.383951512782582,2,0,0,0,0,0,14.833333333333334,0.0,0.0,0,1
40,0,0,0,1,3.9061983328100944,0,0,0,0,0,0,0.15275951719570183,0.047619047619047616,0.11904761904761904,0,0
97,0,0,8,1,4.499679756272509,6,0,0,0,0,0,2.3587038432554635,1.0,0.0,4,0
35,0,0,0,1,3.8430101595548556,0,0,0,0,0,0,0.7581187010078387,0.23333333333333334,0.0,2,0
118,0,0,12,1,4.427204670821272,4,0,0,1,1,0,0.4533989053700325,0.09929078014184398,0.1276595744680851,20,0
49,0,0,2,1,4.481857293006495,0,0,1,1,0,1,1.1570512820512822,0.9090909090909091,0.09090909090909091,11,1
47,0,0,1,3,4.214296969556553,0,0,1,0,0,0,0.14561724628838724,0.0,0.0,1,1
92,0,0,7,1,4.523951257645011,2,0,0,0,0,0,0.0,0.0,0.0,0,0
23,0,0,0,1,3.6211755429194716,0,0,0,0,0,1,0.04692607824528103,0.5,0.07407407407407407,2,0
64,0,0,4,0,4.4311933125951875,6,0,0,0,0,0,0.6483564774125505,0.5932203389830508,0.08813559322033898,2,0
29,0,0,0,1,4.004364184708143,0,1,0,0,0,0,5.128605769230769,0.0,0.13333333333333333,2,0
43,0,0,0,1,3.867670568454333,0,0,0,0,1,0,4.092220113851992,0.16161616161616163,0.0,2,0
69,0,0,3,1,4.260364406449592,0,0,0,0,0,0,0.0,0.0,0.0,0,0
72,0,0,5,0,4.413290808177659,4,0,0,0,0,0,2.4370329870603245,0.07017543859649122,0.07894736842105263,24,0
27,0,0,1,1,3.884155094595805,0,0,0,0,0,0,0.5477777777777778,0.04054054054054054,0.04054054054054054,2,0
40,0,0,0,1,4.093942707918268,0,0,0,1,0,0,28.39379157427938,0.3673469387755102,0.061224489795918366,15,0
25,0,0,0,1,3.8030741894285685,0,0,0,0,0,0,4.117313773717498,0.05157593123209169,0.0057306590257879654,7,0
31,0,0,0,0,3.8213119401041733,3,0,0,0,0,0,0.004092769440654843,0.0,0.8888888888888888,2,1
69,0,0,0,1,4.697161007716513,2,2,1,1,0,0,0.0,0.0,0.0,2,1
70,0,0,7,0,4.332276589204668,1,0,0,0,0,0,1.5298755913790083,0.10869565217391304,0.0,0,0
40,0,0,0,1,3.7837834090041005,3,0,0,0,0,0,13.455958549222798,1.0,0.0,0,1
71,0,0,1,1,4.035763347359358,0,0,0,0,1,1,2.8922689075630252,0.36752136752136755,0.11965811965811966,1,0
30,0,0,0,0,3.9110804962442787,0,0,0,0,0,0,0.0,0.0,0.0,0,1
79,0,0,7,1,4.329223586115495,1,0,0,0,0,0,3.95350052246604,0.20430107526881722,0.4946236559139785,3,0
61,0,0,0,1,4.142317928877627,2,0,1,0,0,0,0.07534246575342465,1.0,0.0,2,1
127,0,0,5,4,4.495625261336075,7,0,0,1,0,0,6.386100386100386,0.75,0.25,32,1
55,0,0,1,2,4.294551758782526,3,0,1,1,0,1,0.0,1.0,0.0,6,1
30,0,0,1,0,3.9232314287976213,0,0,1,0,1,0,0.9300145962971499,0.030456852791878174,0.01015228426395939,1,0
61,0,0,1,1,4.2232786831625395,0,0,0,0,1,0,0.22655864045054835,0.11038961038961038,0.01948051948051948,4,0
37,0,0,1,1,4.044063758094795,0,0,0,1,0,1,0.0,0.0,0.0,4,1
62,0,0,2,1,4.4098639561634165,0,0,0,0,0,0,1.9702404158544509,0.0,0.09302325581395349,0,0
66,0,0,4,0,4.344197158622628,0,0,0,0,0,0,0.9692307692307692,0.0945945945945946,0.060810810810810814,4,0
95,0,0,9,2,4.412769988447481,0,0,0,0,0,0,0.3194759712043583,0.024922118380062305,0.040498442367601244,4,0
63,0,0,2,1,4.412147242005823,0,0,1,0,0,0,0.98912839737582,0.02,0.1,4,0
62,0,0,3,1,4.403567834783365,1,0,0,0,0,0,0.36743322677116635,0.0594059405940594,0.06930693069306931,2,0
64,0,0,4,1,3.763551813326428,0,0,0,0,1,0,4.834700200473847,0.09523809523809523,0.047619047619047616,0,0
86,0,0,2,1,4.707502690421573,10,0,0,0,0,0,9.513597999374804,0.043010752688172046,0.05913978494623656,19,0
20,0,0,0,0,3.7841837197791883,1,0,0,0,1,0,92.45333333333333,0.0,0.0,0,1
47,0,0,1,2,4.210732267449336,5,0,0,1,1,0,0.17356205852674067,0.056910569105691054,0.008130081300813009,12,0
62,0,0,3,1,4.37105150525105,3,0,0,0,1,0,2.84610253478178,0.0963855421686747,0.0,5,0
61,0,0,3,1,4.278376886424014,0,0,0,0,0,0,1.2953980099502487,0.23178807947019867,0.06622516556291391,4,0
22,0,0,0,0,3.720128777433187,0,0,0,0,0,0,0.029860434923726063,0.12,0.08,1,0
55,0,0,0,1,4.492380568259549,6,1,0,0,1,0,1.4248955067920586,0.15178571428571427,0.03571428571428571,10,0
73,0,0,2,1,4.5614954980496325,0,2,0,0,1,0,35.46503414174712,0.14754098360655737,0.2459016393442623,3,0
27,0,0,0,0,3.633974075997158,0,0,1,0,0,0,34.666666666666664,0.0,0.0,0,1
59,0,0,0,0,4.146670432623362,0,0,1,0,0,0,5.025551371705218,0.9423076923076923,0.038461538461538464,0,1
75,0,0,6,1,4.346705150548263,0,0,0,0,1,0,2.2852290738923693,0.09090909090909091,0.0,5,0
51,0,0,1,1,4.11264347880219,3,0,0,1,0,0,63.45454545454545,1.0,0.0,3,1
36,0,0,0,1,4.0203672796296965,0,0,0,0,0,0,0.4076265614727153,0.06060606060606061,0.0,2,0
